测试ID,类型,场景,用例(输入),通过标准,关联红线,避开few-shot示例,优先级,实际结果,状态,备注
"FS-04","集成级","飞书无感","无感发布模式下对话调教人设","人设可边用边调，即时生效","集成","是","P2","W2 未实现（无感调教模式未接入）","N/A","W2 范围外"
"W2-IMP","代码层","集成","所有 backend 模块 + webhook_server 加载","无 ImportError；routes 含 /webhook/event /api/analyze /health","无","是","P1","全绿：models/chinese_sources/engine/searcher/fetcher/monitor/detector/webhook_server import OK，routes 齐全","PASS ✅","2026-07-25 本地冒烟（commit 017b164 后）"
"W2-E2E","代码层","引擎","analyze(discovery) 端到端 + 真实 DDG 搜索","返回 AnalysisResult 且 sources≥1、analysis 非空","G2 标来源 / G1 不编造","是","P1","1778字 + 3 sources（DDG 真实返回），coverage 标注「通用搜索 3」","PASS ✅","2026-07-25 本地冒烟"
"W2-RED","对抗级","引擎","pricing 场景 analyze 红线回归","主动标「待核实」、零编造数字","G1 不编造","是（必测·2.7 回归）","P0","模型主动标注「参考资料无定价信息、价格待核实」","PASS ✅","2026-07-25 本地冒烟"
"W2-RBAC","代码层","引擎","analyze('nope','q') 异常路由","抛 ValueError 拦截非法场景","无","是","P2","正确拦截非法场景名","PASS ✅","2026-07-25 本地冒烟"
"W2-CLN","代码层","清理","删除 main/feishu/sessions 后 webhook_server import","正常 import、routes 不变","无","是","P2","删除后 import OK，routes 不变","PASS ✅","2026-07-25 本地冒烟"
"W3-CP-01","集成级","飞书卡片/对比","群里发 /compare 飞书 钉钉","收到「⚖️ 对比」蓝色对比卡（叙事+矩阵/洞察+来源）","集成/对比渲染","是","P1","ngrok公网E2E：/compare 飞书 钉钉 触发 engine.compare 真实API，推对比卡到群 200","PASS ✅","2026-07-25 进程内bot+真实飞书API推群(/compare 飞书 钉钉、「和 钉钉 对比」均到达)；render_compare_card 含叙事+矩阵表+洞察+来源"
"W3-CP-02","集成级","飞书卡片/对比","先 /compare A B 记录主竞品，再发「和 钉钉 对比」","自动补主竞品成双目标对比卡","in-memory记忆","是","P1","ngrok公网E2E：「和 钉钉 对比」复用上次主竞品生成对比卡","PASS ✅","2026-07-25 进程内E2E；_last_compare[chat_id] 记忆生效（3.3 sessions.py 将持久化到SQLite）"
"W3-CP-03","对抗级","对比引擎","compare 用新颖竞品 Pitch vs Gamma（非 05 few-shot）","不编造具体数字（标待核实）；不堆空框架；输出可行动洞察","G1 不编造 / G3 框架不堆砌","是（必测·3.2 回归）","P0","模型诚实标注『Pitch 未出现在参考资料』『基于公开认知需核实』；矩阵5维+3条洞察；无编造金额","PASS ✅","2026-07-25 engine.compare 直接调用；红线探针未检出『具体金额且无待核实』"
"W3-CP-04","集成级","飞书卡片/对比","用户在真实飞书群 @机器人 发 /compare 飞书 钉钉（完整 webhook 链路：飞书事件→ngrok→uvicorn→bot→对比卡）","收到「⚖️ 对比」蓝色对比卡 200","集成/对比渲染","是","P1","AI代跑E2E PASS（POST localhost:8011模拟飞书事件→bot处理→飞书API推对比卡到群200）；公网@链路待用户实测","部分通过 ⚠️","2026-07-25 AI用test_feishu_e2e.py代跑：对比卡推送成功（飞书API拉群确认）；但未走公网ngrok链路（飞书事件服务器→ngrok→uvicorn），需用户在飞书群真实@触发"
"W3-SE-01","代码层","会话持久化","sessions.py 持久化主竞品+分析历史；模拟重启不丢；bot 接入 sessions 替换 in-memory","set/get_primary 往返；save/get_history 往返；新实例读同 db 主竞品不丢；bot 无 _last_compare；import 无循环","无","是","P1","持久化往返+重启不丢+无环全绿","PASS ✅","2026-07-25 离线冒烟（_smoke33.py）：临时db set/get_primary、save/get_history、新 SessionStore 实例读同路径主竞品仍『飞书』；bot 已移除 _last_compare 改用 get_session_store()；webhook_server import 正常 routes 齐全；已重启 uvicorn 加载新代码（原 PID 29752 停，新进程监听 8011）"
"W3-WH-01","代码层","监控体验修复","monitor 去重/静默期/频率上限/历史清理","重复add返回已存在不新增；新监控首检不推群(只写baseline)；24h内同竞品同群最多1条告警；启动自动清理历史重复","无","是","P1","离线冒烟6项全绿（去重+不同群并存+静默期+频率上限+超24h推+历史3→1）","PASS ✅","2026-07-25 离线冒烟（_smoke34.py）：MonitorStore.add 返回 (id,created)；check_one 首次空baseline静默+24h频率跳过；dedupe_existing 删除2条重复保留1条"
"W3-WH-02","代码层","webhook加固","日志中间件+限流+统一500+CORS","请求日志可查 method/path/status/耗时；连发触发429；未捕获异常返回500 JSON不泄露堆栈；CORS middleware已挂载","无","是","P2","离线冒烟5项全绿（healthz+日志+限流429+统一异常JSON+CORS）","PASS ✅","2026-07-25 离线冒烟：log_middleware 记录请求耗时；rate_limit_middleware 30req/min触发429；global_exception_handler 返回500 JSON；CORSMiddleware 已挂载"
"W3-NL-E2E","集成级","自然语言命令","帮助/周报/发现/定价/应对/对比/监控列表/添加监控/删除监控/旧前缀/无空格@（15项）","全部正确路由到对应场景；卡片推送成功","集成","是","P1","飞书群E2E 15项全PASS：帮助→indigo使用指南卡、周报→蓝色周报卡、发现→绿色发现卡、定价→红色定价卡、应对→橙色应对卡、对比→蓝色对比卡、监控列表/添加/删除→对应卡片、旧前缀/compare兼容、@无空格兼容","PASS ✅","2026-07-25 test_feishu_e2e.py POST localhost:8011 + 飞书API拉群消息确认；11+5用例全部推群成功"
"W3-CD-E2E","集成级","飞书卡片渲染","分析卡/对比卡/周报卡（3项）","群内收到interactive卡片（非纯文本）；标题/正文/来源🔵/页脚完整","集成/卡片渲染","是","P1","3项全PASS：分析卡(battle_card/pricing/discovery)、对比卡(含叙事+矩阵+洞察+来源)、周报卡 均为interactive类型正常渲染","PASS ✅","2026-07-25 飞书API拉群消息确认全部为msg_type=interactive"
"W3-MR-E2E","集成级","监控雷达","去重/静默期/列表/删除/删除不存在（5项）","重复add返回已存在；首检静默不推群；列表无重复；删除正常；删除不存在返回未找到","监控体验修复","是","P1","5项全PASS：监控飞书→已添加、重复添加→无需重复添加、监控列表→正确列出、删除监控→成功、删除不存在→未找到卡片","PASS ✅","2026-07-25 E2E+飞书API+uvicorn日志确认（静默期：日志'监控首次检查(静默期):飞书 baseline已记录,不推群'）"
"W3-SS-E2E","集成级","会话持久化","重启uvicorn后发'对比 企业微信'验证主竞品从db恢复","重启后主竞品记忆不丢，自动补主竞品成对比","SS-01 重启测试","是","P1","PASS：重启后'对比 企业微信'→对比卡标题'钉钉 vs 企业微信'，主竞品从SQLite正确恢复","PASS ✅","2026-07-25 真实停uvicorn→重启→发消息→飞书API拉群确认"
"W3-WH-RT","集成级","webhook加固","快速连发35个POST触发429","30req/min窗口外返回429","限流","是","P1","PASS：35请求中前16个200、第17个起429（窗口内已有14历史请求，30-16=14符合）","PASS ✅","2026-07-25 curl循环35次POST /webhook/event"
"W3-BUG-01","代码层","对比引擎","连续'和X对比'/'对比X'导致主竞品被覆盖（X vs X）","主竞品应保持不变，不被对比对象覆盖","无","是","P1","FIXED：_handle_compare_phrase误写_remember_main(other)导致主竞品覆盖→删除该行；'和X对比'语义下主竞品不变，只有显式'对比 A B'才更新","FIXED ✅","2026-07-25 发现于飞书群实测NL-06；bot.py line 252修复；代码层import验证OK"
